program point,program invariant,3.1.3,3.1.2,3.1.1,2.7.7,2.9.10,2.9.11,2.9.12,2.9.13,3.1.9,3.1.8,6.5,7.1,6.3,6.2,6.1,3.1.7,2.4.1,3.1.6,2.1.21,2.1.20,3.1.4,2.8.11,2.8.10,2.5.10,2.5.11,5.15,2.3.12,2.3.10,2.3.11,2.1.18,2.1.19,2.8.9,2.8.8,2.1.14,2.1.15,2.1.16,2.1.17,2.1.10,2.1.11,2.1.12,2.1.13,2.8.7,2.8.6,1.4.12,1.4.13,1.4.10,1.4.11,1.4.16,1.4.17,1.4.14,1.4.15,2.8.4,1.4.1,2.8.3,2.8.2,2.8.1,4.1.4,4.1.5,4.1.6,4.1.7,4.1.1,4.1.2,4.1.3,4.1.8,4.1.9,2.8.5,1.4.9,2.9.2,2.9.3,2.9.1,2.9.6,2.9.7,2.9.4,2.9.5,2.9.8,2.9.9,4.1.12,4.1.13,4.1.10,4.1.11,2.5.9,2.2.4,2.2.6,2.2.1,2.2.3,2.2.2,8.1,8.3,8.2,8.5,8.4,1.5.8,1.5.5,1.5.4,1.5.7,1.5.6,1.5.1,1.5.3,1.5.2,1.3.3,1.3.2,1.3.1,2.4.8,1.3.7,1.3.6,1.3.5,1.3.4,2.4.3,2.4.2,1.3.9,1.3.8,2.4.7,2.4.6,2.4.5,2.4.4,2.6.9,2.6.8,2.6.1,2.6.3,2.6.2,2.6.5,2.6.4,2.6.7,2.6.6,2.7.6,1.1.1,1.1.3,1.1.2,1.1.5,1.1.4,2.1.8,2.1.9,2.1.2,2.1.3,2.1.1,2.1.6,2.1.7,2.1.4,2.1.5,2.71,2.6.11,2.6.10,2.6.12,2.3.8,2.3.9,1.4.2,1.4.3,1.4.4,1.4.5,1.4.6,1.4.7,1.4.8,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,2.3.6,2.3.7,1.2.6,1.2.7,1.2.4,1.2.5,1.2.2,1.2.3,2.5.8,1.2.1,2.5.6,2.5.7,2.5.4,2.5.5,2.5.2,2.5.3,2.5.1,3.1.12,3.1.10,2.7.8,2.7.9,2.7.4,2.7.5,2.4.11,2.4.10,2.4.9,2.7.2,2.7.3,1.3.13,1.3.12,1.3.11,1.3.10,1.3.14
Cancer.js.constructor,"{''cohorts'':[78,74]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOME.changeText,"{''searchString'':''BWHS'',''list'':[{''cohort_id'':59,''cohort_name'':''A Follow-up Study for Causes of Cancer in Black Women:  Black Women''s Health Study'',''cohort_acronym'':''BWHS'',''cohort_web_site'':''http://www.bu.edu/bwhs/'',''update_time'':''2017-10-04T04:00:00.000Z''}],''orderBy'':{''column'':''cohort_name'',''order'':''asc''},''pageInfo'':{''page'':1,''pageSize'':15,''total'':1},''lastPage'':1,''data1'':[]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectedDataList.render,"{''values'':[''Anthropometry'',''Cancer Treatment''],''displayMax'':5,''cls'':''dropdown filter-component btn-group filter-component-div open'',''expanded'':''true''}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Details.js.render,{''this.state.comparasion'':false},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enrollment.js.constructor,"{''match'':{''path'':''/enrollment'',''url'':''/enrollment'',''isExact'':true,''params'':{}},''location'':{''pathname'':''/enrollment'',''search'':'''',''hash'':'''',''key'':''i1lxwk''},''history'':{''length'':50,''action'':''POP'',''location'':{''pathname'':''/enrollment'',''search'':'''',''hash'':'''',''key'':''i1lxwk''}}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Details.js.handleAgeClick,"{''v'':''45-49'',''idx'':-1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgeList.render,"{''values'':[''30-34'',''25-29'',''20-24'',''35-39'',''40-44'',''50-54''],''displayMax'':3,''cls'':''dropdown filter-component btn-group filter-component-div open'',''expanded'':''true''}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linkages.js.render,"{''params'':{''values'':[],''cohorts'':[],''config'':{''width'':892,''header'':[],''f_header'':[],''first_column_width'':360,''sideHeader'':[48,40,40,48,40,40,40,40,40,40,40,48,40,40,56,40]}},''width'':530,''length'':0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RaceList.js.constructor,"{''state'':{''list'':[''American Indian / Alaska Native'',''Asian'',''Black or African-American'',''Native Hawaiian or Other Pacific Islander'',''White'',''Other/Unknown'',''More than one race''],''open'':false},''props'':{''values'':[],''displayMax'':''3''}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Details.js.constructor,"{''props'':{''timestamp'':''Tue Sep 18 2018 14:15:40 GMT-0400 (Eastern Daylight Time)'',''match'':{''path'':''/select'',''url'':''/select'',''isExact'':true,''params'':{}},''location'':{''pathname'':''/select'',''search'':'''',''hash'':'''',''key'':''jpdx50''},''history'':{''length'':42,''action'':''POP'',''location'':{''pathname'':''/select'',''search'':'''',''hash'':'''',''key'':''jpdx50''}}}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CollectedCancersList.constructor,"{''hasNoCancer'':false,''title'':''Cancers Collected'',''innertitle'':''Cancers Collected'',''hasSelectAll'':true,''values'':[],''displayMax'':''5''}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DetailsTable.DetailsTable,"{''params'':{''values'':[{''type'':''block'',''name'':''Demographic Information'',''rows'':7,''cls'':true},{''type'':''data'',''name'':''Socio-economic status (e.g., income)'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Education Level'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Marital Status'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Language/Country of Origin'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Employment Status'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Geocoding Information'',''title'':''Geographic coordinates of location of interest'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Health Insurance Status'',''c_74'':''No'',''c_78'':''No'',''cls'':true},{''type'':''block'',''name'':''Lifestyle Information'',''rows'':12,''cls'':true},{''type'':''data'',''name'':''Anthropometry'',''title'':''Body measurements such as height, weight, or body mass index'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Cigarette Smoking'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Use of Cigars'',''c_74'':''Yes'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Pipes'',''c_74'':''No'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Chewing Tobacco'',''c_74'':''No'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of E-Cigarettes'',''c_74'':''Yes'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Other Tobacco Products Specified'',''c_74'':''N/A'',''c_78'':''N/A'',''cls'':false},{''type'':''data'',''name'':''Alcohol Consumption'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Dietary Intake'',''c_74'':''No'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Dietary Supplement Use'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Physical Activity'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Sleep Habits'',''c_74'':''No'',''c_78'':''Yes'',''cls'':false},{''type'':''block'',''name'':''Health Information'',''rows'':14,''cls'':true},{''type'':''data'',''name'':''Self-Reported Health'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Reproductive History'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Quality of Life'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Social Support'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Cognitive Function'',''c_74'':''No'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Depression'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Other Psychosocial Variables'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Fatigue'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Complementary and Alternative Medicine'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Prescription Medication Use (not-related to cancer treatment)'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Non-prescription Medication Use (not-related to cancer treatment)'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Family History of Cancer'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Family History of Cancer with Pedigrees'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Environmental or Occupational Exposures'',''title'':''Such as air contanminants/quality, occupational exposures and history, water source'',''c_74'':''No'',''c_78'':''No'',''cls'':true},{''type'':''block'',''name'':''Co-Morbid Conditions'',''rows'':7,''cls'':true},{''type'':''data'',''name'':''Diabetes'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Stroke'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''COPD and/or Emphysema'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Cardiovascular Disease'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Osteoporosis'',''c_74'':''No'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Mental Health'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Cognitive Decline'',''c_74'':''No'',''c_78'':''No'',''cls'':false}],''cohorts'':[{''cohort_id'':74,''cohort_name'':''ColoCare Consortium '',''cohort_acronym'':''ColoCare''},{''cohort_id'':78,''cohort_name'':''Cohort Of Swedish Men'',''cohort_acronym'':''COSM''}],''config'':{''width'':1110,''header'':[354,354],''f_header'':[355,354],''first_column_width'':400,''sideHeader'':[48,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40]}},''values'':[{''type'':''block'',''name'':''Demographic Information'',''rows'':7,''cls'':true},{''type'':''data'',''name'':''Socio-economic status (e.g., income)'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Education Level'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Marital Status'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Language/Country of Origin'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Employment Status'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Geocoding Information'',''title'':''Geographic coordinates of location of interest'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Health Insurance Status'',''c_74'':''No'',''c_78'':''No'',''cls'':true},{''type'':''block'',''name'':''Lifestyle Information'',''rows'':12,''cls'':true},{''type'':''data'',''name'':''Anthropometry'',''title'':''Body measurements such as height, weight, or body mass index'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Cigarette Smoking'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Use of Cigars'',''c_74'':''Yes'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Pipes'',''c_74'':''No'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Chewing Tobacco'',''c_74'':''No'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of E-Cigarettes'',''c_74'':''Yes'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Other Tobacco Products Specified'',''c_74'':''N/A'',''c_78'':''N/A'',''cls'':false},{''type'':''data'',''name'':''Alcohol Consumption'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Dietary Intake'',''c_74'':''No'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Dietary Supplement Use'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Physical Activity'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Sleep Habits'',''c_74'':''No'',''c_78'':''Yes'',''cls'':false},{''type'':''block'',''name'':''Health Information'',''rows'':14,''cls'':true},{''type'':''data'',''name'':''Self-Reported Health'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Reproductive History'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Quality of Life'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Social Support'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Cognitive Function'',''c_74'':''No'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Depression'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Other Psychosocial Variables'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Fatigue'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Complementary and Alternative Medicine'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Prescription Medication Use (not-related to cancer treatment)'',''c_74'':''Yes'',''c_78'':''No'',''cls'':true},{''type'':''data'',''name'':''Non-prescription Medication Use (not-related to cancer treatment)'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Family History of Cancer'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Family History of Cancer with Pedigrees'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Environmental or Occupational Exposures'',''title'':''Such as air contanminants/quality, occupational exposures and history, water source'',''c_74'':''No'',''c_78'':''No'',''cls'':true},{''type'':''block'',''name'':''Co-Morbid Conditions'',''rows'':7,''cls'':true},{''type'':''data'',''name'':''Diabetes'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Stroke'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''COPD and/or Emphysema'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Cardiovascular Disease'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Osteoporosis'',''c_74'':''No'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Mental Health'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Cognitive Decline'',''c_74'':''No'',''c_78'':''No'',''cls'':false}],''cohorts'':[{''cohort_id'':74,''cohort_name'':''ColoCare Consortium '',''cohort_acronym'':''ColoCare''},{''cohort_id'':78,''cohort_name'':''Cohort Of Swedish Men'',''cohort_acronym'':''COSM''}],''config'':{''width'':1110,''header'':[354,354],''f_header'':[355,354],''first_column_width'':400,''sideHeader'':[48,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40]}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Specimen.js.handleExpand,"{''from'':12,''len'':2}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
